mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006543779373168945,0.003939923232942845,0.00937495231628418,0.0017304478521977611,3,1,"{'n_neighbors': 3, 'p': 1}",-11.456729830241997,-6.596816153219002,-6.24326570431173,-5.847472104625049,-8.786343028694075,-7.786125364218371,2.0989054915735874,37
0.007126617431640625,0.0019127513744060989,0.01087017059326172,0.003961900872059774,3,2,"{'n_neighbors': 3, 'p': 2}",-12.808973080223035,-6.243152793295049,-5.384303624535878,-5.942623161964003,-8.507489829033412,-7.777308497810276,2.7311898351141664,36
0.011320209503173828,0.0021249134883492924,0.008026838302612305,0.003173835195879671,4,1,"{'n_neighbors': 4, 'p': 1}",-11.10740016910509,-6.38302140136505,-5.89328639633272,-5.862544421631236,-8.734380277369123,-7.596126533160643,2.049451617505466,19
0.010838079452514648,0.001789818448395655,0.013734865188598632,0.0028946934172642317,4,2,"{'n_neighbors': 4, 'p': 2}",-12.207390474275122,-6.163534022756096,-5.498193220208239,-5.925551838823821,-8.559416012014578,-7.670817113615572,2.506322151538827,21
0.006715011596679687,0.00574528042642471,0.008894395828247071,0.006023172000776367,5,1,"{'n_neighbors': 5, 'p': 1}",-10.841628100608702,-6.185493312722876,-5.804399706233618,-5.927246630920613,-8.693282528769442,-7.490410055851051,1.9832540466701536,18
0.009137630462646484,0.002862240226393312,0.009203672409057617,0.0017655509156332936,5,2,"{'n_neighbors': 5, 'p': 2}",-12.380904226380354,-6.058229911898283,-5.583519929088074,-5.946978028560307,-8.597343591115008,-7.713395137408405,2.5676127314543704,27
0.005900192260742188,0.003581300310635318,0.006799030303955078,0.0016897331108223436,6,1,"{'n_neighbors': 6, 'p': 1}",-10.747217028394193,-6.163124319569445,-5.6077359165324605,-6.017581826094303,-8.617408935908232,-7.430613605299728,1.9664390348814311,17
0.0067122459411621095,0.0037532577039969873,0.009367656707763673,0.0021594539782535697,6,2,"{'n_neighbors': 6, 'p': 2}",-12.300533817456424,-6.085805959468732,-5.652465847139565,-6.1238063617078256,-8.6029075200535,-7.753103901165209,2.4999383259090133,31
0.004791402816772461,0.002679163244483332,0.008209943771362305,0.0017483998609285007,7,1,"{'n_neighbors': 7, 'p': 1}",-10.58985590827179,-6.03936195765743,-5.530694876886463,-5.8292885780546735,-8.679540959504482,-7.333748456074969,1.9800621881052973,11
0.006245851516723633,0.0023919183839622863,0.011702203750610351,0.0017554157695673306,7,2,"{'n_neighbors': 7, 'p': 2}",-12.196199930888103,-6.036449921836715,-5.67966402639501,-6.18628198008469,-8.645723581101826,-7.748863888061268,2.459218049104379,30
0.006695413589477539,0.0022131618637919576,0.007675981521606446,0.0025733666967315653,8,1,"{'n_neighbors': 8, 'p': 1}",-10.468815710789038,-6.0333293962854,-5.463599403860061,-5.838565633215428,-8.839006699792382,-7.328663368788462,1.9757752232293333,9
0.004645299911499023,0.0029600106323239084,0.012274789810180663,0.0044245760080315385,8,2,"{'n_neighbors': 8, 'p': 2}",-12.17526020620952,-6.019078410766622,-5.688515823708529,-6.231856554592024,-8.655132420470055,-7.75396868314935,2.4475571460959737,32
0.007109355926513672,0.0028012376256263613,0.005720996856689453,0.0031038928404703656,9,1,"{'n_neighbors': 9, 'p': 1}",-10.413195716032957,-6.007993241740432,-5.442102981254978,-5.848650696888909,-8.976716037098308,-7.337731734603116,1.9861381327439893,13
0.008429288864135742,0.0018247563724027964,0.010184097290039062,0.0023278048116936946,9,2,"{'n_neighbors': 9, 'p': 2}",-11.959708523754433,-5.971441355855859,-5.716156677798985,-6.257852498601789,-8.620304727892583,-7.705092756780729,2.3662327251454185,26
0.006471014022827149,0.0024949506141865425,0.009366703033447266,0.002062013511710358,10,1,"{'n_neighbors': 10, 'p': 1}",-10.332104613755778,-5.978117879644974,-5.426280912124111,-5.91270459506703,-8.59719869487498,-7.249281339093375,1.8998055179863285,4
0.006665468215942383,0.002868505202898811,0.011254119873046874,0.0048526656453234274,10,2,"{'n_neighbors': 10, 'p': 2}",-11.86158753688386,-5.950216946601047,-5.674093410273153,-6.221731643042233,-8.68962316824519,-7.679450541009096,2.3514833199661047,24
0.006736898422241211,0.0032881925330864197,0.004994392395019531,0.004240772414062241,11,1,"{'n_neighbors': 11, 'p': 1}",-10.201960898640055,-5.96402595571672,-5.3896026359261775,-5.906351837116988,-8.606741378673904,-7.213736541214769,1.8691411452286015,2
0.0064623355865478516,0.007969448764852925,0.009747791290283202,0.005338965431480236,11,2,"{'n_neighbors': 11, 'p': 2}",-11.900465149632819,-5.916995346751219,-5.634197466634531,-6.1794614989345,-8.728783231164345,-7.671980538623482,2.3856680402987407,22
0.0076138973236083984,0.006755391932159759,0.009479427337646484,0.004954766315111395,12,1,"{'n_neighbors': 12, 'p': 1}",-10.099297803638994,-5.956536863337814,-5.393819448482577,-5.9187415435790856,-8.650622903337757,-7.203803712475245,1.841753197895887,1
0.007753801345825195,0.004921192935739479,0.0113037109375,0.006159645800840853,12,2,"{'n_neighbors': 12, 'p': 2}",-11.901780368500699,-5.925037901089831,-5.7250283305796446,-6.124978006090563,-8.545096458992026,-7.644384213050553,2.3615833053359676,20
0.006421566009521484,0.007864898273193251,0.009496974945068359,0.006662275717484291,13,1,"{'n_neighbors': 13, 'p': 1}",-10.080250119369804,-5.945632804606493,-5.331219660792784,-5.915190837214225,-8.859380647127901,-7.226334813822241,1.8848039087375756,3
0.001716947555541992,0.003433895111083984,0.014034366607666016,0.003221610571984095,13,2,"{'n_neighbors': 13, 'p': 2}",-11.885561544436111,-5.875885161251712,-5.73508433106624,-6.151966254205247,-8.712739322091052,-7.672247322610073,2.3717256304363175,23
0.012499332427978516,0.006249672563507646,0.0032371044158935546,0.006474208831787109,14,1,"{'n_neighbors': 14, 'p': 1}",-10.124766188529518,-5.975496132042731,-5.358020294536658,-5.993521329924416,-8.971848448107911,-7.284730478628246,1.897666864858715,6
0.0062354087829589845,0.007636812868831769,0.00939040184020996,0.007667315507637518,14,2,"{'n_neighbors': 14, 'p': 2}",-11.933562909249217,-5.891644875900606,-5.794972464926999,-6.169335787596232,-8.652015701847489,-7.688306347904108,2.3694267741803987,25
0.012598562240600585,0.004347234595107047,0.0,0.0,15,1,"{'n_neighbors': 15, 'p': 1}",-10.18821481674915,-5.946276117308595,-5.367706505095886,-5.978733945563245,-8.882765409306122,-7.2727393588046,1.9055333082062933,5
0.010510778427124024,0.006543095161918011,0.008470249176025391,0.0071810860828696805,15,2,"{'n_neighbors': 15, 'p': 2}",-12.015839688759963,-5.930336701940263,-5.824607503474002,-6.208917242493636,-8.602760142184364,-7.716492255770445,2.3795890870126675,29
0.006232738494873047,0.00763359605464592,0.009387731552124023,0.007665103283301613,16,1,"{'n_neighbors': 16, 'p': 1}",-10.239710544986048,-5.940289635828142,-5.371009436514839,-6.003091580618584,-8.992654869538702,-7.309351213497263,1.936921768498638,7
0.01129460334777832,0.006112639737597327,0.007585048675537109,0.007024430526392635,16,2,"{'n_neighbors': 16, 'p': 2}",-11.953709105982924,-5.967917030962688,-5.830201755654325,-6.227967515120979,-8.591956550672089,-7.714350391678602,2.3474128099091827,28
0.0,0.0,0.01570882797241211,0.000164032301237107,17,1,"{'n_neighbors': 17, 'p': 1}",-10.294345136253563,-5.9041014339954145,-5.379169566551011,-6.004368667527339,-9.034750553390012,-7.323347071543466,1.9641547677851874,8
0.006311178207397461,0.007730203575099162,0.01254725456237793,0.006274493179847,17,2,"{'n_neighbors': 17, 'p': 2}",-11.88065459840848,-6.006077259298015,-5.8196157025590765,-6.270081874661746,-8.806830411256545,-7.756651969236772,2.329668835052951,33
0.01271042823791504,0.005132488536081736,0.0,0.0,18,1,"{'n_neighbors': 18, 'p': 1}",-10.318986909453415,-5.975213096164658,-5.344409043182098,-6.041050986863408,-8.998919774664838,-7.335715962065683,1.9574770067158445,12
0.011719131469726562,0.006959767097961334,0.007897377014160156,0.0071215141564182705,18,2,"{'n_neighbors': 18, 'p': 2}",-11.83802446863268,-6.0179921066420725,-5.780359767263789,-6.3087388628601095,-8.881388218686629,-7.765300684817056,2.3215245188125904,35
0.015083789825439453,0.0005265541116179815,0.0,0.0,19,1,"{'n_neighbors': 19, 'p': 1}",-10.36023052634964,-6.012972647748779,-5.376332566729691,-6.12077807301895,-8.785243476438316,-7.331111458057076,1.913824422298611,10
0.008756160736083984,0.007240111280336922,0.013254308700561523,0.006759174001444234,19,2,"{'n_neighbors': 19, 'p': 2}",-11.73348074963016,-6.064699915873548,-5.7679848793606245,-6.35070360247821,-8.906345697115515,-7.764642968891612,2.2773156518734523,34
0.003240489959716797,0.006480979919433594,0.015810155868530275,0.00014382096420863642,20,1,"{'n_neighbors': 20, 'p': 1}",-10.391584628394112,-6.06026144102437,-5.404806047165701,-6.184662695050424,-8.811853731175532,-7.3706337085620275,1.9074244798863655,15
0.012091684341430663,0.006098712132526527,0.00997910499572754,0.007178177051913714,20,2,"{'n_neighbors': 20, 'p': 2}",-11.793879848774282,-6.0582208032274245,-5.830351684030995,-6.395326719028388,-8.87455869343127,-7.790467549698471,2.279987481510153,38
0.011878490447998047,0.0060601131350725024,0.0038282394409179686,0.006054024350369063,25,1,"{'n_neighbors': 25, 'p': 1}",-10.394000184313706,-6.172081631713131,-5.468275738674433,-6.259521487840496,-8.754464135258175,-7.409668635559989,1.8621587559856903,16
0.007660436630249024,0.006992400154676774,0.01445460319519043,0.01275524556082535,25,2,"{'n_neighbors': 25, 'p': 2}",-11.697289941993134,-6.145954726538252,-5.995731176954583,-6.566214921350488,-8.76919088172601,-7.834876329712493,2.1741938937492966,39
0.012842750549316407,0.006436333218952025,0.003114652633666992,0.006229305267333984,30,1,"{'n_neighbors': 30, 'p': 1}",-10.383185012735714,-6.267528712433677,-5.466007668981918,-6.26711933210719,-8.462547845589784,-7.369277714369656,1.8072032321513178,14
0.00845508575439453,0.007046310040328149,0.01658940315246582,0.005488081056373951,30,2,"{'n_neighbors': 30, 'p': 2}",-11.628528952742627,-6.2965327517786704,-6.068403167897349,-6.696633255609753,-8.638641000573942,-7.865747825720469,2.0888081920054726,40
